Kommune2023;KommuneNavn;Fylkesnummer2024;Fylke2024
301;Oslo;3;Oslo
1101;Eigersund;11;Rogaland
1103;Stavanger;11;Rogaland
1106;Haugesund;11;Rogaland
1108;Sandnes;11;Rogaland
1111;Sokndal;11;Rogaland
1112;Lund;11;Rogaland
1114;Bjerkreim;11;Rogaland
1119;Hå;11;Rogaland
1120;Klepp;11;Rogaland
1121;Time;11;Rogaland
1122;Gjesdal;11;Rogaland
1124;Sola;11;Rogaland
1127;Randaberg;11;Rogaland
1130;Strand;11;Rogaland
1133;Hjelmeland;11;Rogaland
1134;Suldal;11;Rogaland
1135;Sauda;11;Rogaland
1144;Kvitsøy;11;Rogaland
1145;Bokn;11;Rogaland
1146;Tysvær;11;Rogaland
1149;Karmøy;11;Rogaland
1151;Utsira;11;Rogaland
1160;Vindafjord;11;Rogaland
1505;Kristiansund;15;Møre og Romsdal
1506;Molde;15;Møre og Romsdal
1507;Ålesund;15;Møre og Romsdal
1511;Vanylven;15;Møre og Romsdal
1514;Sande;15;Møre og Romsdal
1515;Herøy (Møre og Romsdal);15;Møre og Romsdal
1516;Ulstein;15;Møre og Romsdal
1517;Hareid;15;Møre og Romsdal
1520;Ørsta;15;Møre og Romsdal
1525;Stranda;15;Møre og Romsdal
1528;Sykkylven;15;Møre og Romsdal
1531;Sula;15;Møre og Romsdal
1532;Giske;15;Møre og Romsdal
1535;Vestnes;15;Møre og Romsdal
1539;Rauma;15;Møre og Romsdal
1547;Aukra;15;Møre og Romsdal
1554;Averøy;15;Møre og Romsdal
1557;Gjemnes;15;Møre og Romsdal
1560;Tingvoll;15;Møre og Romsdal
1563;Sunndal;15;Møre og Romsdal
1566;Surnadal;15;Møre og Romsdal
1573;Smøla;15;Møre og Romsdal
1576;Aure;15;Møre og Romsdal
1577;Volda;15;Møre og Romsdal
1578;Fjord;15;Møre og Romsdal
1579;Hustadvika;15;Møre og Romsdal
1804;Bodø;18;Nordland
1806;Narvik;18;Nordland
1811;Bindal;18;Nordland
1812;Sømna;18;Nordland
1813;Brønnøy;18;Nordland
1815;Vega;18;Nordland
1816;Vevelstad;18;Nordland
1818;Herøy (Nordland);18;Nordland
1820;Alstahaug;18;Nordland
1822;Leirfjord;18;Nordland
1824;Vefsn;18;Nordland
1825;Grane;18;Nordland
1826;Hattfjelldal;18;Nordland
1827;Dønna;18;Nordland
1828;Nesna;18;Nordland
1832;Hemnes;18;Nordland
1833;Rana;18;Nordland
1834;Lurøy;18;Nordland
1835;Træna;18;Nordland
1836;Rødøy;18;Nordland
1837;Meløy;18;Nordland
1838;Gildeskål;18;Nordland
1839;Beiarn;18;Nordland
1840;Saltdal;18;Nordland
1841;Fauske - Fuosko;18;Nordland
1845;Sørfold;18;Nordland
1848;Steigen;18;Nordland
1851;Lødingen;18;Nordland
1853;Evenes;18;Nordland
1856;Røst;18;Nordland
1857;Værøy;18;Nordland
1859;Flakstad;18;Nordland
1860;Vestvågøy;18;Nordland
1865;Vågan;18;Nordland
1866;Hadsel;18;Nordland
1867;Bø;18;Nordland
1868;Øksnes;18;Nordland
1870;Sortland - Suortá;18;Nordland
1871;Andøy;18;Nordland
1874;Moskenes;18;Nordland
1875;Hamarøy;18;Nordland
3001;Halden;31;Østfold
3002;Moss;31;Østfold
3003;Sarpsborg;31;Østfold
3004;Fredrikstad;31;Østfold
3011;Hvaler;31;Østfold
3017;Råde;31;Østfold
3018;Våler;31;Østfold
3015;Skiptvet;31;Østfold
3014;Indre Østfold;31;Østfold
3016;Rakkestad;31;Østfold
3013;Marker;31;Østfold
3012;Aremark;31;Østfold
3024;Bærum;32;Akershus
3025;Asker;32;Akershus
3030;Lillestrøm;32;Akershus
3020;Nordre Follo;32;Akershus
3033;Ullensaker;32;Akershus
3023;Nesodden;32;Akershus
3022;Frogn;32;Akershus
3019;Vestby;32;Akershus
3021;Ås;32;Akershus
3028;Enebakk;32;Akershus
3029;Lørenskog;32;Akershus
3027;Rælingen;32;Akershus
3026;Aurskog-Høland;32;Akershus
3034;Nes;32;Akershus
3032;Gjerdrum;32;Akershus
3031;Nittedal;32;Akershus
3054;Lunner;32;Akershus
3053;Jevnaker;32;Akershus
3036;Nannestad;32;Akershus
3035;Eidsvoll;32;Akershus
3037;Hurdal;32;Akershus
3005;Drammen;33;Buskerud
3006;Kongsberg;33;Buskerud
3007;Ringerike;33;Buskerud
3038;Hole;33;Buskerud
3049;Lier;33;Buskerud
3048;Øvre Eiker;33;Buskerud
3047;Modum;33;Buskerud
3046;Krødsherad;33;Buskerud
3039;Flå;33;Buskerud
3040;Nesbyen;33;Buskerud
3041;Gol;33;Buskerud
3042;Hemsedal;33;Buskerud
3043;Ål;33;Buskerud
3044;Hol;33;Buskerud
3045;Sigdal;33;Buskerud
3050;Flesberg;33;Buskerud
3051;Rollag;33;Buskerud
3052;Nore og Uvdal;33;Buskerud
3401;Kongsvinger;34;Innlandet
3403;Hamar;34;Innlandet
3405;Lillehammer;34;Innlandet
3407;Gjøvik;34;Innlandet
3411;Ringsaker;34;Innlandet
3412;Løten;34;Innlandet
3413;Stange;34;Innlandet
3414;Nord-Odal;34;Innlandet
3415;Sør-Odal;34;Innlandet
3416;Eidskog;34;Innlandet
3417;Grue;34;Innlandet
3418;Åsnes;34;Innlandet
3419;Våler (Innlandet);34;Innlandet
3420;Elverum;34;Innlandet
3421;Trysil;34;Innlandet
3422;Åmot;34;Innlandet
3423;Stor-Elvdal;34;Innlandet
3424;Rendalen;34;Innlandet
3425;Engerdal;34;Innlandet
3426;Tolga;34;Innlandet
3427;Tynset;34;Innlandet
3428;Alvdal;34;Innlandet
3429;Folldal;34;Innlandet
3430;Os;34;Innlandet
3431;Dovre;34;Innlandet
3432;Lesja;34;Innlandet
3433;Skjåk;34;Innlandet
3434;Lom;34;Innlandet
3435;Vågå;34;Innlandet
3436;Nord-Fron;34;Innlandet
3437;Sel;34;Innlandet
3438;Sør-Fron;34;Innlandet
3439;Ringebu;34;Innlandet
3440;Øyer;34;Innlandet
3441;Gausdal;34;Innlandet
3442;Østre Toten;34;Innlandet
3443;Vestre Toten;34;Innlandet
3446;Gran;34;Innlandet
3447;Søndre Land;34;Innlandet
3448;Nordre Land;34;Innlandet
3449;Sør-Aurdal;34;Innlandet
3450;Etnedal;34;Innlandet
3451;Nord-Aurdal;34;Innlandet
3452;Vestre Slidre;34;Innlandet
3453;Øystre Slidre;34;Innlandet
3454;Vang;34;Innlandet
3801;Horten;39;Vestfold
3802;Holmestrand;39;Vestfold
3803;Tønsberg;39;Vestfold
3804;Sandefjord;39;Vestfold
3805;Larvik;39;Vestfold
3811;Færder;39;Vestfold
3806;Porsgrunn;40;Telemark
3807;Skien;40;Telemark
3808;Notodden;40;Telemark
3812;Siljan;40;Telemark
3813;Bamble;40;Telemark
3814;Kragerø;40;Telemark
3815;Drangedal;40;Telemark
3816;Nome;40;Telemark
3817;Midt-Telemark;40;Telemark
3820;Seljord;40;Telemark
3819;Hjartdal;40;Telemark
3818;Tinn;40;Telemark
3821;Kviteseid;40;Telemark
3822;Nissedal;40;Telemark
3823;Fyresdal;40;Telemark
3824;Tokke;40;Telemark
3825;Vinje;40;Telemark
4201;Risør;42;Agder
4202;Grimstad;42;Agder
4203;Arendal;42;Agder
4204;Kristiansand;42;Agder
4205;Lindesnes;42;Agder
4206;Farsund;42;Agder
4207;Flekkefjord;42;Agder
4211;Gjerstad;42;Agder
4212;Vegårshei;42;Agder
4213;Tvedestrand;42;Agder
4214;Froland;42;Agder
4215;Lillesand;42;Agder
4216;Birkenes;42;Agder
4217;Åmli;42;Agder
4218;Iveland;42;Agder
4219;Evje og Hornnes;42;Agder
4220;Bygland;42;Agder
4221;Valle;42;Agder
4222;Bykle;42;Agder
4223;Vennesla;42;Agder
4224;Åseral;42;Agder
4225;Lyngdal;42;Agder
4226;Hægebostad;42;Agder
4227;Kvinesdal;42;Agder
4228;Sirdal;42;Agder
4601;Bergen;46;Vestland
4602;Kinn;46;Vestland
4611;Etne;46;Vestland
4612;Sveio;46;Vestland
4613;Bømlo;46;Vestland
4614;Stord;46;Vestland
4615;Fitjar;46;Vestland
4616;Tysnes;46;Vestland
4617;Kvinnherad;46;Vestland
4618;Ullensvang;46;Vestland
4619;Eidfjord;46;Vestland
4620;Ulvik;46;Vestland
4621;Voss;46;Vestland
4622;Kvam;46;Vestland
4623;Samnanger;46;Vestland
4624;Bjørnafjorden;46;Vestland
4625;Austevoll;46;Vestland
4626;Øygarden;46;Vestland
4627;Askøy;46;Vestland
4628;Vaksdal;46;Vestland
4629;Modalen;46;Vestland
4630;Osterøy;46;Vestland
4631;Alver;46;Vestland
4632;Austrheim;46;Vestland
4633;Fedje;46;Vestland
4634;Masfjorden;46;Vestland
4635;Gulen;46;Vestland
4636;Solund;46;Vestland
4637;Hyllestad;46;Vestland
4638;Høyanger;46;Vestland
4639;Vik;46;Vestland
4640;Sogndal;46;Vestland
4641;Aurland;46;Vestland
4642;Lærdal;46;Vestland
4643;Årdal;46;Vestland
4644;Luster;46;Vestland
4645;Askvoll;46;Vestland
4646;Fjaler;46;Vestland
4647;Sunnfjord;46;Vestland
4648;Bremanger;46;Vestland
4649;Stad;46;Vestland
4650;Gloppen;46;Vestland
4651;Stryn;46;Vestland
5001;Trondheim;50;Trøndelag
5006;Steinkjer;50;Trøndelag
5007;Namsos;50;Trøndelag
5014;Frøya;50;Trøndelag
5020;Osen;50;Trøndelag
5021;Oppdal;50;Trøndelag
5022;Rennebu;50;Trøndelag
5025;Røros;50;Trøndelag
5026;Holtålen;50;Trøndelag
5027;Midtre Gauldal;50;Trøndelag
5028;Melhus;50;Trøndelag
5029;Skaun;50;Trøndelag
5031;Malvik;50;Trøndelag
5032;Selbu;50;Trøndelag
5033;Tydal;50;Trøndelag
5034;Meråker;50;Trøndelag
5035;Stjørdal;50;Trøndelag
5036;Frosta;50;Trøndelag
5037;Levanger;50;Trøndelag
5038;Verdal;50;Trøndelag
5041;Snåase - Snåsa;50;Trøndelag
5042;Lierne;50;Trøndelag
5043;Raarvihke - Røyrvik;50;Trøndelag
5044;Namsskogan;50;Trøndelag
5045;Grong;50;Trøndelag
5046;Høylandet;50;Trøndelag
5047;Overhalla;50;Trøndelag
5049;Flatanger;50;Trøndelag
5052;Leka;50;Trøndelag
5053;Inderøy;50;Trøndelag
5054;Indre Fosen;50;Trøndelag
5055;Heim;50;Trøndelag
5056;Hitra;50;Trøndelag
5057;Ørland;50;Trøndelag
5058;Åfjord;50;Trøndelag
5059;Orkland;50;Trøndelag
5060;Nærøysund;50;Trøndelag
5061;Rindal;50;Trøndelag
5401;Tromsø;55;Troms
5402;Harstad;55;Troms
5411;Kvæfjord;55;Troms
5412;Tjeldsund;55;Troms
5413;Ibestad;55;Troms
5414;Gratangen;55;Troms
5415;Loabák - Lavangen;55;Troms
5416;Bardu;55;Troms
5417;Salangen;55;Troms
5418;Målselv;55;Troms
5419;Sørreisa;55;Troms
5420;Dyrøy;55;Troms
5421;Senja;55;Troms
5422;Balsfjord;55;Troms
5423;Karlsøy;55;Troms
5424;Lyngen;55;Troms
5425;Storfjord - Omasvuotna - Omasvuono;55;Troms
5426;Gáivuotna - Kåfjord - Kaivuono;55;Troms
5427;Skjervøy;55;Troms
5428;Nordreisa;55;Troms
5429;Kvænangen;55;Troms
5403;Alta;56;Finnmark
5406;Hammerfest;56;Finnmark
5444;Sør-Varanger;56;Finnmark
5405;Vadsø;56;Finnmark
5437;Kárásjohka - Karasjok;56;Finnmark
5430;Guovdageaidnu - Kautokeino;56;Finnmark
5432;Loppa;56;Finnmark
5433;Hasvik;56;Finnmark
5434;Måsøy;56;Finnmark
5435;Nordkapp;56;Finnmark
5436;Porsanger - Porsángu - Porsanki;56;Finnmark
5438;Lebesby;56;Finnmark
5439;Gamvik;56;Finnmark
5441;Deatnu-Tana;56;Finnmark
5440;Berlevåg;56;Finnmark
5443;Båtsfjord;56;Finnmark
5404;Vardø;56;Finnmark
5442;Unjárga-Nesseby;56;Finnmark